,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test
0,Brc1ccc(-c2csc(/N=C/N3CCCC3)n2)cc1,-0.0,1.0,0.0,0.0,98.16802984198924,0.0,0.0,-0.22780621744158738,0.0,0.0,-0.13225785423733105
1,Brc1ccc(-c2noc(COc3ccc4ccccc4c3)n2)o1,1.0,0.0,0.0,0.0,89.5837513963337,0.0,1.0,-0.06499942050191979,0.0,1.0,-0.038680621531550864
2,Brc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1,1.0,0.0,0.0,0.0,97.90651585385382,0.0,0.0,-0.209204594186453,1.0,0.0,-0.1420048728926185
3,C#CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCc4ccccc43)cc2)sc2cc(S(N)(=O)=O)ccc21,1.0,0.0,0.0,0.0,98.1521252648895,0.0,0.0,-0.21952025977069267,0.0,0.0,-0.128321214390445
4,C#CCn1c(S(=O)(=O)Cc2ccc(OC)cc2)nc(-c2ccccc2)c1-c1ccccc1,1.0,0.0,0.0,0.0,94.23961048182775,0.0,0.0,-0.15820801175430904,0.0,0.0,-0.08917371144410394
5,C(=C/c1ccccc1)\CN1CCN(c2ncnc3c2oc2ccccc23)CC1,1.0,0.0,0.0,0.0,88.98719356460697,0.0,0.0,-0.2064020726160088,0.0,0.0,-0.10668397742434384
6,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,99.06544001749872,0.0,0.0,-0.22913099773788495,0.0,0.0,-0.13293515868689618
7,C/C(=N\Nc1nc(C)c(C)s1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,98.93859997418222,1.0,0.0,-0.2343448091700664,1.0,0.0,-0.13802542090161446
8,C/C(=N\Nc1nc2ccccc2[nH]1)c1cc2ccccc2o1,1.0,0.0,0.0,0.0,98.74414342850682,0.0,0.0,-0.18854283838909558,0.0,0.0,-0.11136127110149531
9,C/C(=N\Nc1nc2ccccc2s1)c1ccc(Br)s1,1.0,0.0,0.0,0.0,98.33080277720525,0.0,0.0,-0.16179417990513192,0.0,0.0,-0.09931446960362242
10,C/C1=C\[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@]32C(=O)/C=C/C(=O)[C@@H]1O,-0.0,1.0,0.0,0.0,89.342973637493,0.0,1.0,-0.03489030500605145,0.0,1.0,-0.02130661054235009
11,C/C=C(/C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(=O)/C(C)=C\C,1.0,0.0,0.0,0.0,95.84055259898226,0.0,0.0,-0.2110178510973647,0.0,0.0,-0.11879122162949152
12,C/C=C(/C)C(=O)O[C@@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@@H]1OC(=O)/C(C)=C\C,1.0,0.0,0.0,0.0,95.84055259898226,0.0,0.0,-0.2110178510973647,0.0,0.0,-0.11879122162949152
13,C/C=C/c1ccccc1OCc1ccc(C(=O)O)o1,1.0,0.0,0.0,0.0,98.25406393588847,0.0,0.0,-0.22849987536088767,0.0,0.0,-0.12262748663654964
14,C1=C(c2ccccc2)Nc2ccccc2N=C1c1ccccc1,1.0,0.0,0.0,0.0,99.04837268065415,0.0,0.0,-0.220590026333463,0.0,0.0,-0.12923499162708438
15,C=C(C)CNC(=S)NN=C1c2ccccc2-c2ccccc21,-0.0,1.0,1.0,0.0,99.36136770834524,0.0,0.0,-0.23046454458574944,1.0,0.0,-0.13980578113770814
