,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test
0,Brc1ccc(-c2csc(N3CCCCCC3)n2)cc1,1.0,0.0,0.0,0.0,99.03581868752777,0.0,0.0,-0.20201822496866478,0.0,0.0,-0.061199316552749815
1,Brc1ccc2ncnc(NCc3ccccc3)c2c1,-0.0,1.0,0.0,0.0,98.7726962230896,0.0,0.0,-0.18419702519676584,0.0,0.0,-0.055494409224581556
2,Brc1cccc(-c2cnco2)c1,1.0,0.0,0.0,0.0,99.50827542199774,0.0,0.0,-0.2029341014975611,0.0,0.0,-0.06163277190799557
3,Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,-0.0,1.0,0.0,0.0,99.42750417674722,0.0,0.0,-0.19820430312006843,0.0,0.0,-0.063184364220359
4,C#CCN(C[C@@H]1[C@@H](OC(=O)NCc2ccccc2F)[C@@H](OC(=O)NCc2ccccc2F)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,99.22439633738487,0.0,0.0,-0.19616197331920407,0.0,0.0,-0.054824042082216605
5,C#CCn1c(S(=O)(=O)Cc2ccc(F)cc2)nc(-c2ccccc2)c1-c1ccccc1,-0.0,1.0,0.0,0.0,99.257253618168,0.0,0.0,-0.20247117202139142,0.0,0.0,-0.06136455731904364
6,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,-0.0,1.0,0.0,0.0,99.13538762953836,0.0,0.0,-0.20085603238910177,0.0,0.0,-0.05767782034459457
7,C(=Cc1nc2ccccc2o1)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,95.04428408910474,0.0,0.0,-0.19507240909993911,1.0,0.0,-0.06980594712147431
8,C(=N/Nc1ccc2ccccc2n1)\c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,90.81183970415073,0.0,0.0,-0.18399603031226316,0.0,0.0,-0.06296669073845008
9,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2cccnc12,-0.0,1.0,0.0,0.0,89.92132652463357,0.0,0.0,-0.09057281936985313,0.0,0.0,-0.03111791478149425
10,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2nccnc12,-0.0,1.0,0.0,0.0,93.94743482054237,0.0,0.0,-0.12745455492131685,0.0,0.0,-0.045786258656917794
11,C/C(=N/NC(=O)c1cc(C2CC2)[nH]n1)c1cccs1,-0.0,1.0,0.0,0.0,97.62820642797229,0.0,0.0,-0.18809682610720552,0.0,0.0,-0.055641634308879404
12,C/C(=N/NC(=O)c1ccc(C(C)(C)C)cc1)c1ccccn1,-0.0,1.0,0.0,1.0,76.53506995154832,0.0,0.0,-0.11096661028057604,0.0,0.0,-0.031290547818669766
