,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn
0,C#CC(C)(C)NC(=O)c1ccc(-c2ccccc2F)cc1,1.0,0.0,0.0,0.0,0.0003206502291885594
1,C#CCNC(=O)C[C@@H]1C[C@@]2(C(=O)OCC)CCC=C2N(Cc2ccc(Cl)cc2Cl)C1=O,1.0,0.0,1.0,0.0,5.2335929700178855e-05
2,C#CCOc1ccc(CNC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)cc1,1.0,0.0,0.0,0.0,6.312711623248233e-05
3,C(=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2ccccn2)cc1)\c1ccccc1,-0.0,1.0,0.0,0.0,0.00013438297512123447
4,C/C(=N/NC(=O)c1cc(O)c(O)c(O)c1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,0.0004753745732921024
5,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2ccc(Cl)cc2)c1,-0.0,1.0,1.0,0.0,-0.00808358513812743
6,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2cccc(Cl)c2)c1,-0.0,1.0,1.0,0.0,-0.0022781997630413253
7,C/C(=N\NC(=O)c1ccccc1O)C1CC1,1.0,0.0,0.0,0.0,0.0007620451692356403
8,C/C(=N\NC(=O)c1ccccc1O)c1ccc(NC(=O)Cc2ccccc2)cc1,1.0,0.0,0.0,0.0,0.0002467230956955423
9,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc(Br)cc1,-0.0,1.0,0.0,0.0,0.0004739645174108879
10,C/C(CC(=O)N1CCCC1)=N\NC(=O)c1cc2ccccc2cc1O,-0.0,1.0,0.0,0.0,0.00021319962319847586
11,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(C)c1O,1.0,0.0,0.0,0.0,0.00016695981186024065
12,C/C=C/c1ccc([C@@H]2[C@H](CO)N(C(=O)C3CCCC3)C23CN(S(C)(=O)=O)C3)cc1,1.0,0.0,0.0,0.0,5.54204958715736e-05
13,C=C1[C@H](C)CN[C@H]1CCO,1.0,0.0,0.0,0.0,0.0007757985091979377
14,C=CCC(NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,0.00034532677175796615
15,C=CCNC(=O)COc1ccccc1C#N,1.0,0.0,0.0,0.0,0.0004100490779058228
16,C=CCNc1nc(Nc2cc(Cl)ccc2OC)nc(OC)n1,1.0,0.0,0.0,0.0,0.0002353618118260868
17,C=CCOc1c(OC)cc(/C=N/Nc2cccc(C(=O)O)c2)c(Br)c1Br,-0.0,1.0,0.0,0.0,7.617228867846194e-05
18,C=CCOc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,-0.0,1.0,0.0,0.0,0.00018622144429976942
19,C=CCOc1cccn2c(N(C=O)Cc3ccccc3)c(CC)nc12,1.0,0.0,0.0,0.0,8.64726330186132e-05
20,C=CCc1cc(/C=C/c2nc(O)c([N+](=O)[O-])c(=O)[nH]2)cc(OC)c1O,-0.0,1.0,0.0,0.0,8.620732292319041e-05
21,CC#CC#Cc1cccc(=O)o1,-0.0,1.0,0.0,0.0,0.0013477863756761084
22,CC(=O)N(C)c1ccc(NC(=O)Cc2cccs2)cc1,-0.0,1.0,0.0,0.0,0.000477501513033044
23,CC(=O)N1CCN(c2ccc(N)cc2)CC1,-0.0,1.0,0.0,1.0,0.0026598750338835513
24,CC(=O)N1CCOc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc21,-0.0,1.0,0.0,0.0,7.752760440019111e-05
